,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,43.9,69,44,10.33,ZA,1626930278
1,Nyurba,63.2842,118.3319,80.62,41,11,7.58,RU,1626930279
2,Ushuaia,-54.8,-68.3,35.11,96,100,6.17,AR,1626930101
3,Spornoye,50.8448,37.2913,64.42,71,80,12.86,RU,1626930279
4,Aswān,24.0934,32.907,93.69,21,89,9.6,EG,1626930097
5,Punta Arenas,-53.15,-70.9167,35.11,100,100,3.09,CL,1626930152
6,Hefei,31.8639,117.2808,89.94,100,70,13.22,CN,1626930034
7,Tiksi,71.6872,128.8694,41.27,92,100,7.02,RU,1626930280
8,Cabo San Lucas,22.8909,-109.9124,87.51,70,0,1.99,MX,1626930086
9,Qaanaaq,77.484,-69.3632,39.83,92,100,10.45,GL,1626930281
10,Makakilo City,21.3469,-158.0858,80.92,68,20,8.05,US,1626930281
11,Khatanga,71.9667,102.5,54.34,87,100,2.73,RU,1626930281
12,San Joaquin,37.9333,-121.3011,80.85,31,1,11.5,US,1626930282
13,Airai,-8.9266,125.4092,75.18,34,90,4.09,TL,1626930282
14,Albany,42.6001,-73.9662,61.27,94,1,4.21,US,1626930130
15,Kotido,2.9806,34.1331,67.84,79,25,8.93,UG,1626930283
16,Batagay,67.6333,134.6333,71.08,38,5,7.58,RU,1626930283
17,Porto-Novo,6.4965,2.6036,75.99,76,77,9.66,BJ,1626930283
18,Rikitea,-23.1203,-134.9692,72.52,67,1,15.21,PF,1626930284
19,Bambous Virieux,-20.3428,57.7575,74.21,59,77,16.35,MU,1626930284
20,Hilo,19.7297,-155.09,75.79,91,91,6.49,US,1626930080
21,Narsaq,60.9167,-46.05,44.82,94,54,4.41,GL,1626930191
22,Asău,46.4333,26.4,63.52,82,45,4.7,RO,1626930285
23,Villa Carlos Paz,-31.4241,-64.4978,57.4,64,52,1.99,AR,1626930285
24,Kaitangata,-46.2817,169.8464,48.92,74,55,5.23,NZ,1626930286
25,Saint Paul Harbor,57.79,-152.4072,53.83,90,100,7.76,US,1626930286
26,Upernavik,72.7868,-56.1549,42.04,88,100,10.47,GL,1626930286
27,Tiznit Province,29.5833,-9.5,84.06,30,5,9.86,MA,1626930287
28,Launceston,-41.45,147.1667,52.81,92,90,3.0,AU,1626930287
29,Avarua,-21.2078,-159.775,77.05,78,0,2.3,CK,1626930287
30,Arraial do Cabo,-22.9661,-42.0278,67.23,78,99,6.08,BR,1626930288
31,Port Alfred,-33.5906,26.891,46.92,85,90,30.09,ZA,1626930289
32,Barstow,34.8986,-117.0228,92.39,25,68,13.6,US,1626930289
33,Beringovskiy,63.05,179.3167,54.79,69,34,8.3,RU,1626930289
34,Scarborough,54.2797,-0.4044,60.91,88,4,3.96,GB,1626930001
35,Kavieng,-2.5744,150.7967,82.89,75,93,7.61,PG,1626930290
36,Lavrentiya,65.5833,-171.0,38.34,83,100,8.14,RU,1626930290
