,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.097,-79.2353,76.3,74,1,4.0,US,1626623738
1,Saldanha,-33.0117,17.9442,73.45,63,0,9.01,ZA,1626623738
2,San Jose,37.3394,-121.895,77.77,63,20,0.0,US,1626623451
3,Thompson,55.7435,-97.8558,50.16,87,90,8.05,CA,1626623738
4,Albany,42.6001,-73.9662,72.75,95,100,4.79,US,1626623723
5,Gamba,-2.65,10.0,74.28,74,7,10.87,GA,1626623739
6,Vaini,-21.2,-175.2,73.56,94,20,4.61,TO,1626623739
7,Mahébourg,-20.4081,57.7,71.89,73,40,14.97,MU,1626623740
8,Cape Town,-33.9258,18.4232,73.81,53,0,11.5,ZA,1626623536
9,Portland,45.5234,-122.6762,67.5,71,20,3.0,US,1626623313
10,Hamilton,39.1834,-84.5333,79.75,63,20,1.99,US,1626623553
11,Tabou,4.423,-7.3528,79.2,67,76,7.96,CI,1626623740
12,Cockburn Town,21.4612,-71.1419,81.66,80,100,21.12,TC,1626623741
13,Qasigiannguit,68.8193,-51.1922,47.75,71,55,1.79,GL,1626623741
14,New Norfolk,-42.7826,147.0587,51.3,82,100,1.01,AU,1626623742
15,Avarua,-21.2078,-159.775,75.25,83,20,8.05,CK,1626623742
16,Puerto Ayora,-0.7393,-90.3518,76.96,94,99,10.0,EC,1626623742
17,Nabire,-3.3667,135.4833,74.12,97,100,2.37,ID,1626623707
18,Cabo San Lucas,22.8909,-109.9124,88.61,70,88,8.52,MX,1626623567
19,Mataura,-46.1927,168.8643,42.33,96,81,4.16,NZ,1626623743
20,San Cristobal,7.7669,-72.225,84.38,48,34,10.94,VE,1626623744
21,Santa Lucía,27.9117,-15.5407,76.32,54,0,27.63,ES,1626623744
22,Hobart,-42.8794,147.3294,51.66,80,100,3.0,AU,1626623727
23,Rundu,-17.9333,19.7667,69.3,25,0,5.68,NA,1626623744
24,Taoudenni,22.6783,-3.9836,118.67,5,14,11.65,ML,1626623745
25,Charlestown,-32.95,151.6667,49.41,78,73,1.01,AU,1626623745
26,Srednekolymsk,67.45,153.6833,47.21,54,99,5.97,RU,1626623746
27,Camacha,33.0833,-16.3333,75.96,64,20,10.36,PT,1626623746
28,Cherskiy,68.75,161.3,45.99,62,100,6.26,RU,1626623746
29,Winton,37.3894,-120.6133,97.07,34,1,9.22,US,1626623747
30,Sitka,57.0531,-135.33,56.88,93,100,0.51,US,1626623747
31,Rikitea,-23.1203,-134.9692,70.99,63,100,28.36,PF,1626623747
32,San Quintín,30.4833,-115.95,73.67,75,15,5.53,MX,1626623748
33,Makakilo City,21.3469,-158.0858,77.32,75,90,0.0,US,1626623748
34,Chui,-33.6971,-53.4616,44.6,85,100,27.13,UY,1626623749
35,Karratha,-20.7377,116.8463,68.61,40,0,5.66,AU,1626623749
36,East London,-33.0153,27.9116,67.14,63,0,10.36,ZA,1626623750
37,Aklavik,68.2191,-135.0107,59.72,88,90,8.05,CA,1626623750
38,La Ronge,55.1001,-105.2842,53.82,93,90,9.22,CA,1626623751
39,Santarém,-2.4431,-54.7083,84.33,79,75,11.5,BR,1626623751
40,Busselton,-33.65,115.3333,50.09,79,2,9.48,AU,1626623751
41,Salalah,17.0151,54.0924,77.72,92,89,8.48,OM,1626623752
42,Pampa,35.5362,-100.9599,83.57,57,1,4.61,US,1626623752
43,Lagoa,39.05,-27.9833,68.5,71,0,17.74,PT,1626623753
44,Saint Paul Harbor,57.79,-152.4072,59.29,79,90,2.66,US,1626623753
45,Green Valley,31.8543,-110.9937,78.4,53,17,3.65,US,1626623753
46,Bluff,-46.6,168.3333,44.06,88,54,7.02,NZ,1626623754
47,Ushuaia,-54.8,-68.3,38.86,81,75,4.61,AR,1626623633
48,Tiruchchendur,8.4833,78.1167,84.02,65,97,9.46,IN,1626623754
49,Pathein,16.7833,94.7333,77.65,89,100,5.99,MM,1626623755
50,Koslan,63.4564,48.8989,68.59,57,96,4.27,RU,1626623755
51,Marzuq,14.4,46.4667,84.6,38,79,11.34,YE,1626623756
52,Hilo,19.7297,-155.09,73.13,89,90,5.75,US,1626623571
53,Bathsheba,13.2167,-59.5167,86.61,70,40,18.41,BB,1626623756
54,Saint-Philippe,-21.3585,55.7679,71.19,84,75,15.01,RE,1626623757
55,Yellowknife,62.456,-114.3525,65.28,63,20,4.61,CA,1626623525
56,Kapaa,22.0752,-159.319,79.12,83,40,13.8,US,1626623757
57,Butaritari,3.0707,172.7902,81.86,78,98,10.42,KI,1626623757
58,Aykhal,66.0,111.5,57.4,81,75,19.3,RU,1626623758
59,Punta Arenas,-53.15,-70.9167,37.51,93,90,10.36,CL,1626623758
